"case","iter","model","mse","intercept","b_X1","b_X2","b_X2sq","b_X1X2"
"double_snorm",30,"simple",0.32840409721036,1.00378562914292,0.925215806290272,-0.137135959596124,NA,NA
"double_snorm",30,"ideal",0.0110089275269718,0.511322208451155,0.987392923663541,NA,0.598003362292828,NA
"double_snorm",30,"mixed",0.32423088062367,1.00859557599402,0.922137057817537,-0.134297972895075,NA,0.0721584289962192
"double_snorm",31,"simple",0.729265440529657,1.12954527805546,1.01700147327038,0.198887728640301,NA,NA
"double_snorm",31,"ideal",0.0110349177930298,0.500555071873461,1.00640305186586,NA,0.606711555382092,NA
"double_snorm",31,"mixed",0.707750313139205,1.13268401985552,1.01042368643058,0.235823759987947,NA,-0.164975399040725
"double_snorm",32,"simple",0.533225284401763,1.07807801276827,0.91691477533257,-0.10352058926403,NA,NA
"double_snorm",32,"ideal",0.0110176096690181,0.499389842726916,0.998536471169058,NA,0.609722972248454,NA
"double_snorm",32,"mixed",0.53175140570564,1.07751401208371,0.910354244133028,-0.0943462520057355,NA,0.0401199018468257
"double_snorm",33,"simple",1.43471373954769,1.28078933239486,1.18594581322871,-0.113208071610472,NA,NA
"double_snorm",33,"ideal",0.0111002949618906,0.512501350879814,0.995361955937041,NA,0.597225061912057,NA
"double_snorm",33,"mixed",1.43317521811362,1.27960245759514,1.17907894954009,-0.103468395565,NA,-0.0365222084567159
"double_snorm",34,"simple",1.29614470510073,1.30780269798136,1.07046282941138,0.0891145493014883,NA,NA
"double_snorm",34,"ideal",0.0110080932542318,0.503377880516948,1.00923252486194,NA,0.604555484199406,NA
"double_snorm",34,"mixed",1.14536706876513,1.2505992430843,1.0594599303255,0.0791994018136422,NA,0.392055754640138
"double_snorm",35,"simple",0.465718535989907,1.03728616565856,1.10790751302365,0.196875196356003,NA,NA
"double_snorm",35,"ideal",0.0109202793082107,0.50054661980606,1.01268067963261,NA,0.607342898405173,NA
"double_snorm",35,"mixed",0.463730980362349,1.04240111872302,1.09279827324566,0.185844562282598,NA,0.0422073792928959
"double_snorm",36,"simple",1.07073835219095,1.22184514147509,0.852456996260127,-0.151221678791912,NA,NA
"double_snorm",36,"ideal",0.0108691815025609,0.505226659974722,1.0163729799062,NA,0.602790005158094,NA
"double_snorm",36,"mixed",0.945002581908209,1.14735516829948,0.880019838278512,-0.0596388407108542,NA,0.330745078798493
"double_snorm",37,"simple",0.727945933624891,1.0539864008727,1.13351445846625,0.243027422553745,NA,NA
"double_snorm",37,"ideal",0.0108846674991287,0.516000897845937,0.989085791236731,NA,0.592876210989895,NA
"double_snorm",37,"mixed",0.720142978997121,1.05761006768114,1.10753143507604,0.218680333558195,NA,0.0810863020151917
"double_snorm",38,"simple",0.49270555331581,1.04568435958471,0.983278794965847,0.255258489278572,NA,NA
"double_snorm",38,"ideal",0.0110793443951008,0.512263345200618,0.993985494362652,NA,0.594826382275666,NA
"double_snorm",38,"mixed",0.425990938533944,1.01169796703357,1.00083515115703,0.19079997607229,NA,-0.222823514974248
"double_snorm",39,"simple",0.449359016005784,1.02172454809736,0.996589053773088,-0.0593797747901981,NA,NA
"double_snorm",39,"ideal",0.0111441262043928,0.505471373816266,0.999638127715201,NA,0.603791167559515,NA
"double_snorm",39,"mixed",0.44326245294069,1.02018159905018,1.01323316477273,-0.0535491708435564,NA,0.0973990162877009
"double_snorm",40,"simple",0.534671836815795,1.10334244577653,0.940368062240004,0.0690078548320442,NA,NA
"double_snorm",40,"ideal",0.0110942175639371,0.515305062538917,0.997716833788079,NA,0.593425314746594,NA
"double_snorm",40,"mixed",0.522355033407332,1.10145905733032,0.917504706569955,0.061223309846001,NA,-0.128985170697714
"double_snorm",41,"simple",0.526790838111704,1.07704228108317,0.89171448308798,0.0350691626553566,NA,NA
"double_snorm",41,"ideal",0.010827836016647,0.521473198072504,1.00519493880729,NA,0.586507816819288,NA
"double_snorm",41,"mixed",0.437995521172999,1.00282398791523,0.879759831739821,-0.0457362842599662,NA,-0.311631889218554
"double_snorm",42,"simple",0.629257006050658,1.0985481228569,1.04979239804014,0.323255706204794,NA,NA
"double_snorm",42,"ideal",0.0111217264359785,0.506123930411216,1.00450523468691,NA,0.602955420525858,NA
"double_snorm",42,"mixed",0.626842409393931,1.09589830578703,1.0462180416962,0.322021588096352,NA,0.0543458844151281
"double_snorm",43,"simple",0.808184694671942,1.04235970474578,0.933352354026264,0.117821416915377,NA,NA
